,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
528,ŚNIEŻKA,1990,1,2.3,-13.6,-1.1,-6.0,-3.4,31.2
529,ŚNIEŻKA,1990,2,9.2,-9.6,0.9,-4.6,-2.0,46.5
530,ŚNIEŻKA,1990,3,10.1,-12.1,1.0,-4.2,-1.8,46.3
531,ŚNIEŻKA,1990,4,10.1,-12.1,0.1,-4.0,-2.1,72.6
532,ŚNIEŻKA,1990,5,13.6,-4.1,7.4,2.3,4.4,65.5
533,ŚNIEŻKA,1990,6,19.9,0.0,9.2,4.5,6.4,101.9
534,ŚNIEŻKA,1990,7,19.3,0.2,10.4,5.1,7.1,36.7
535,ŚNIEŻKA,1990,8,20.0,1.3,13.5,7.6,10.0,88.5
536,ŚNIEŻKA,1990,9,14.9,-3.6,4.0,0.3,2.0,84.5
537,ŚNIEŻKA,1990,10,15.1,-8.3,6.3,0.3,3.2,37.6
538,ŚNIEŻKA,1990,11,3.5,-12.0,-1.0,-4.8,-3.1,97.4
539,ŚNIEŻKA,1990,12,1.8,-14.0,-5.0,-9.4,-7.2,111.4
540,KŁODZKO,1986,1,8.4,-16.5,0.8,-4.2,-1.7,22.5
541,KŁODZKO,1986,2,1.0,-22.6,-5.4,-13.5,-9.7,12.0
542,KŁODZKO,1986,3,16.1,-19.9,5.5,-0.9,1.9,25.7
543,KŁODZKO,1986,4,24.1,-6.9,13.9,3.5,8.0,29.4
544,KŁODZKO,1986,5,26.4,1.7,19.6,8.1,13.8,64.4
545,KŁODZKO,1986,6,28.4,4.6,19.9,9.0,14.3,136.4
546,KŁODZKO,1986,7,29.6,5.5,22.1,10.2,15.7,66.5
547,KŁODZKO,1986,8,30.5,3.7,21.4,11.5,16.0,141.9
548,KŁODZKO,1986,9,23.5,-0.5,15.7,6.5,10.6,40.3
549,KŁODZKO,1986,10,21.5,-1.1,13.6,4.4,8.6,25.8
550,KŁODZKO,1986,11,12.5,-4.8,7.7,1.8,4.4,18.5
551,KŁODZKO,1986,12,11.4,-14.2,1.9,-2.3,-0.2,32.8
552,KŁODZKO,1987,1,5.6,-29.4,-6.3,-14.0,-9.9,34.7
553,KŁODZKO,1987,2,6.8,-21.8,1.5,-4.8,-1.7,26.7
554,KŁODZKO,1987,3,11.7,-14.2,1.3,-5.1,-2.1,15.1
555,KŁODZKO,1987,4,21.2,-2.6,12.2,2.4,7.1,25.8
556,KŁODZKO,1987,5,23.9,0.3,15.4,5.9,10.3,93.8
557,KŁODZKO,1987,6,27.5,4.8,19.4,10.0,14.3,112.0
558,KŁODZKO,1987,7,29.5,6.5,22.1,11.3,16.5,98.7
559,KŁODZKO,1987,8,27.7,3.4,20.0,10.1,14.6,85.8
560,KŁODZKO,1987,9,24.9,4.3,19.2,9.6,14.0,58.5
561,KŁODZKO,1987,10,19.8,-5.2,13.0,5.5,8.8,24.6
562,KŁODZKO,1987,11,10.5,-4.2,6.3,2.2,4.2,29.9
563,KŁODZKO,1987,12,10.1,-12.4,2.6,-1.9,0.3,30.0
564,KŁODZKO,1988,1,9.5,-6.6,4.4,-0.2,2.1,26.2
565,KŁODZKO,1988,2,10.6,-7.7,3.5,-0.9,1.1,35.0
566,KŁODZKO,1988,3,11.9,-5.6,3.7,-1.4,1.0,29.5
567,KŁODZKO,1988,4,21.9,-6.4,13.1,0.7,6.9,5.6
568,KŁODZKO,1988,5,23.4,0.3,18.9,6.8,13.3,23.1
569,KŁODZKO,1988,6,27.1,4.2,20.0,9.3,14.6,116.8
570,KŁODZKO,1988,7,32.5,6.8,23.4,11.2,17.0,88.5
571,KŁODZKO,1988,8,30.4,4.0,22.9,9.8,16.3,78.0
572,KŁODZKO,1988,9,24.5,4.1,17.1,9.3,13.1,68.0
573,KŁODZKO,1988,10,20.6,-6.8,12.4,5.0,8.4,13.4
574,KŁODZKO,1988,11,7.4,-19.3,2.7,-3.3,-0.5,27.2
575,KŁODZKO,1988,12,7.8,-14.2,2.5,-1.9,0.5,29.8
576,KŁODZKO,1989,1,6.0,-7.3,2.5,-2.6,-0.2,7.7
577,KŁODZKO,1989,2,12.2,-5.6,5.6,-0.3,2.6,5.3
578,KŁODZKO,1989,3,18.9,-4.6,10.6,0.5,5.1,22.2
579,KŁODZKO,1989,4,21.6,-6.6,13.1,3.0,7.9,67.4
580,KŁODZKO,1989,5,23.0,1.4,18.0,5.9,12.2,33.0
581,KŁODZKO,1989,6,26.1,2.5,18.9,8.9,13.9,105.8
582,KŁODZKO,1989,7,28.5,5.7,22.1,11.4,16.6,77.9
583,KŁODZKO,1989,8,30.4,5.3,22.2,11.3,16.7,43.5
584,KŁODZKO,1989,9,25.9,0.6,18.6,8.8,13.6,46.4
585,KŁODZKO,1989,10,21.6,-1.7,14.2,5.6,9.7,26.6
586,KŁODZKO,1989,11,13.0,-13.3,4.7,-2.3,0.9,12.4
587,KŁODZKO,1989,12,13.3,-14.5,4.0,-2.7,0.5,14.4
588,KŁODZKO,1990,1,9.4,-13.7,3.0,-2.1,0.5,9.6
589,KŁODZKO,1990,2,17.2,-4.4,8.7,0.6,4.1,24.5
590,KŁODZKO,1990,3,20.2,-3.2,11.1,1.9,6.2,10.3
591,KŁODZKO,1990,4,20.3,-4.7,11.5,1.9,6.5,48.0
592,KŁODZKO,1990,5,23.9,-0.7,18.9,5.7,12.5,51.3
593,KŁODZKO,1990,6,27.2,3.2,20.4,9.4,14.6,71.7
594,KŁODZKO,1990,7,30.8,3.6,22.2,9.1,15.9,14.6
595,KŁODZKO,1990,8,32.1,5.9,24.4,9.6,17.1,40.0
596,KŁODZKO,1990,9,20.9,3.2,15.0,7.7,11.0,38.3
597,KŁODZKO,1990,10,22.6,-6.6,14.3,4.7,9.1,21.5
598,KŁODZKO,1990,11,11.9,-2.5,6.4,1.9,4.0,22.7
599,KŁODZKO,1990,12,7.7,-13.5,0.8,-2.9,-0.9,16.9
420,JELENIA GÓRA,1991,1,15.1,-15.5,4.4,-3.6,0.3,15.5
421,JELENIA GÓRA,1991,2,12.3,-20.2,0.7,-9.6,-4.5,10.2
422,JELENIA GÓRA,1991,3,17.4,-6.0,10.7,-0.1,4.9,32.7
423,JELENIA GÓRA,1991,4,19.6,-5.2,11.8,0.5,6.1,44.5
424,JELENIA GÓRA,1991,5,21.5,-2.0,13.2,3.2,8.2,76.5
425,JELENIA GÓRA,1991,6,28.4,-0.7,19.3,7.3,13.4,81.6
426,JELENIA GÓRA,1991,7,32.4,4.8,23.9,11.1,17.7,42.0
427,JELENIA GÓRA,1991,8,31.5,3.6,22.6,10.5,16.3,74.5
